"name","country.etc","pop","lat","long","group","cycle"
"Belleville IL","IL",40745,38.53,-90,"Union",17
"Cary NC","NC",106117,35.78,-78.8,"Confederate",27
"Nashua NH","NH",87113,42.75,-71.49,"Union",17
"North Charleston SC","SC",83247,32.91,-80.04,"Confederate",27
"Findlay OH","OH",40571,41.04,-83.64,"Union",17
"Murfreesboro TN","TN",88161,35.85,-86.39,"Confederate",28
"Augusta ME","ME",18626,44.32,-69.77,"Union",17
"Chesapeake VA","VA",223222,36.68,-76.31,"Confederate",28
"Dearborn Heights MI","MI",55964,42.33,-83.27,"Union",17
"Birmingham AL","AL",229300,33.53,-86.8,"Confederate",28
"East Providence RI","RI",50750,41.8,-71.36,"Union",17
"Lafayette LA","LA",112317,30.22,-92.03,"Confederate",28
"Edina MN","MN",45648,44.89,-93.36,"Union",17
"Sumter SC","SC",40018,33.94,-80.39,"Confederate",28
"Lower Merion PA","PA",60579,40.03,-75.28,"Union",17
"Hattiesburg MS","MS",48728,31.31,-89.31,"Confederate",28
"Arcadia CA","CA",57429,34.13,-118.04,"Union",17
"Greensboro NC","NC",233342,36.08,-79.83,"Confederate",28
"Bristol CT","CT",61166,41.68,-72.94,"Union",17
"New Braunfels TX","TX",47533,29.7,-98.12,"Confederate",28
"Corvallis OR","OR",50932,44.57,-123.28,"Union",17
"Conway AR","AR",53297,35.09,-92.45,"Confederate",28
"Gary IN","IN",96950,41.6,-87.34,"Union",17
"Athens-Clarke GA","GA",103618,33.95,-83.39,"Confederate",28
"West Allis WI","WI",58958,43.01,-88.03,"Union",17
"Ocala FL","FL",50241,29.19,-82.13,"Confederate",28
"Brewster MA","MA",52153,41.77,-70.08,"Union",17
"North Charleston SC","SC",83247,32.91,-80.04,"Confederate",29
"Edison NJ","NJ",103448,40.53,-74.37,"Union",17
"Cedar Park TX","TX",58499,30.51,-97.83,"Confederate",29
"Council Bluffs IA","IA",58834,41.24,-95.86,"Union",17
"Atlanta GA","GA",424096,33.76,-84.42,"Confederate",29
"Salina KS","KS",45715,38.82,-97.62,"Union",17
"Daytona Beach FL","FL",64735,29.19,-81.05,"Confederate",29
"White Plains NY","NY",58084,41.02,-73.76,"Union",17
"Charlotte NC","NC",607111,35.2,-80.83,"Confederate",29
"Greenwich CT","CT",64100,41.04,-73.59,"Union",18
"Dothan AL","AL",62449,31.24,-85.41,"Confederate",29
"South Whittier CA","CA",59657,33.93,-118.03,"Union",18
"Lafayette LA","LA",112317,30.22,-92.03,"Confederate",29
"Wyoming MI","MI",70474,42.89,-85.7,"Union",18
"Southaven MS","MS",40806,34.97,-90,"Confederate",29
"Tigard OR","OR",48122,45.43,-122.77,"Union",18
